# 游戏种子数据：每行一条，字段以 | 分隔（内容中请避免使用 | 与换行）
# 格式：名称|简介|发售日期YYYY-MM-DD|发行商|开发商|成就JSON可选|封面HTTPS URL（可留空）|价格(元人民币整数，0=免费)|标签(逗号分隔)
# 封面留空时，网站会使用内置默认占位图；价格为整数「元」，脚本会 ×100 存入分为 price_cents。
艾尔登法环|由宫崎英高与乔治·R·R·马丁共同打造世界观，你将踏入辽阔的「交界地」，在开放世界中自由探索遗迹、洞窟与城堡。本作继承了魂系列标志性的高难度战斗与成就感十足的 Boss 战，同时引入骑马驰骋与跳跃地形的新玩法。丰富的武器、法术与角色构筑路线，让每一次开荒都能玩出不同流派。支持单人冒险，也可召唤协助共同攻略强敌。|2022-02-25|Bandai Namco|FromSoftware|[{"id":1,"name":"艾尔登之王"}]||298|魂like,开放世界,动作RPG
赛博朋克 2077|走进霓虹闪烁的夜之城，扮演雇佣兵 V，在势力交错的大都市里承接委托、改装义体、改写命运。第一人称叙事搭配分支剧情与角色关系，你的选择会影响结局走向。资料片《往日之影》进一步拓展区域与故事深度。持续更新后，驾驶、战斗与画面表现均已显著进化，适合喜欢科幻氛围与剧情沉浸的玩家。|2020-12-10|CD PROJEKT RED|CD PROJEKT RED|[]||298|科幻,RPG,叙事
博德之门 3|基于龙与地下城第五版规则的现象级 CRPG：招募同伴、掷骰检定、在回合制战斗中组合法术与地形效果。剧情文本量巨大，同伴任务与恋爱线刻画细腻，几乎处处可选对话与多重解法。支持单人或在线多人合作通关，大量过场采用即时演算，沉浸感极强。适合喜欢慢节奏阅读、策略战斗与高自由度的玩家。|2023-08-03|Larian Studios|Larian Studios|[]||298|CRPG,回合制,多人合作
黑神话：悟空|以中国古典名著《西游记》为灵感，呈现写实风格的东方玄幻世界。扮演天命人，挥舞棍棒与法术，与各路妖王展开高强度战斗，招式衔接与敌人演出极具辨识度。画面与配乐着力还原中式美学，关卡推进兼具探索与叙事。适合期待国产单机里程碑作品、喜欢动作与 Boss  Rush 氛围的玩家。|2024-08-20|Game Science|Game Science|[]||268|动作冒险,单机,国产
双人成行|专为双人合作设计的分屏冒险：一对夫妻被魔法变成玩偶，必须在奇幻场景中默契配合才能前进。关卡机制层出不穷，平台跳跃、射击、驾驶、音游元素轮番登场，剧情幽默又温情。支持本地同屏或在线好友联机，一人购买即可通过「好友通行证」邀请另一位免费游玩。|2021-03-26|Electronic Arts|Hazelight|[]||198|本地合作,在线合作,平台跳跃
APEX 英雄|快节奏战术竞技：三人小队跳伞搜集物资，利用传奇角色独特技能（位移、侦查、防御等）抢占高点与时机。枪械手感扎实，护甲进化体系让中后期团战更具张力。地图轮换与赛季更新持续带来新内容，免费下载即可游玩，内购主要为外观与通行证。|2019-02-04|Electronic Arts|Respawn|[]||0|战术竞技,FPS,免费开玩
原神|跨越七国的开放世界冒险 RPG：操控元素共鸣的队伍，在大世界中探索解谜、挑战秘境与周常 Boss。主线与版本活动定期更新，新地图、新角色与剧情章节持续扩展「提瓦特」的故事。支持手机、PC、主机多端进度互通，可免费游玩并通过版本内容体验绝大部分玩法。|2020-09-28|miHoYo|miHoYo|[]||0|开放世界,二次元,多端互通
星露谷物语|告别都市格子间，继承祖父留下的荒废农场：耕种、畜牧、采矿、钓鱼，与鹈鹕镇居民建立友谊甚至组建家庭。像素画风治愈耐玩，四季更迭与节日活动让田园生活充满仪式感。支持单人或联机协作经营，模组生态丰富，轻松上手却极易「再种一天就睡」。|2016-02-26|ConcernedApe|ConcernedApe|[]||48|模拟经营,像素,休闲
只狼：影逝二度|战国末期的忍者题材动作作品，强调弹刀、架势与忍杀一击毙命的节奏。死亡惩罚与篝火休整构成高强度循环，Boss 战演出与地图垂直纵深极具辨识度。叙事克制却张力十足，适合追求精确操作与一对一决斗快感的玩家。|2019-03-22|Activision|FromSoftware|[]||268|动作,潜行,高难度
怪物猎人：世界|在新大陆调查古龙迁徙之谜，狩猎巨型怪物并剥取素材打造更强武器与防具。十四种武器类型各具流派，组队四人围猎大型怪物乐趣十足。生态系统生动，怪物争斗与环境交互让每场狩猎都有变数，后期更有冰原资料片拓展地图与怪物阵容。|2018-01-26|Capcom|Capcom|[]||308|共斗狩猎,动作,联机
